C0018923,Hemangiosarcoma
C4539957,IMMUNODEFICIENCY 11B WITH ATOPIC DERMATITIS
C4747850,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 3
C4747989,PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 2
C4540395,KLEEFSTRA SYNDROME 2
C4540439,RETINITIS PIGMENTOSA 80
C4540511,GELEOPHYSIC DYSPLASIA 3
C4693751,SPERMATOGENIC FAILURE 24
C4693765,SPERMATOGENIC FAILURE 25
C4693784,SPERMATOGENIC FAILURE 27
C4539839,MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 3
C4693472,POLYCYSTIC LIVER DISEASE 3 WITH OR WITHOUT KIDNEY CYSTS
C4554406,"FANCONI ANEMIA, COMPLEMENTATION GROUP S"
C4693531,MULTIPLE SYNOSTOSES SYNDROME 4
C4693542,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8"
C4693572,"MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE"
C4693583,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 7
C4693587,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 8
C4693651,OROFACIODIGITAL SYNDROME XVIII
C4693660,KERATOCONUS 9
C4693694,"EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 4"
C4016380,"ANEMIA, PERINATAL HEMOLYTIC, FATAL OR NEAR-FATAL"
C1866810,ELLIPTOCYTOSIS 3
C4693733,"LEUKODYSTROPHY, HYPOMYELINATING, 15"
C4693779,"LEUKODYSTROPHY, HYPOMYELINATING, 16"
C4747885,"HYDROCEPHALUS, CONGENITAL, 3, WITH BRAIN ANOMALIES"
C4693822,"ERYTHROCYTOSIS, FAMILIAL, 6"
C4693823,"ERYTHROCYTOSIS, FAMILIAL, 7"
C4693831,"MICROCEPHALY 21, PRIMARY, AUTOSOMAL RECESSIVE"
C4693834,"MICROCEPHALY 22, PRIMARY, AUTOSOMAL RECESSIVE"
C4693843,"MICROCEPHALY 23, PRIMARY, AUTOSOMAL RECESSIVE"
C4693870,"EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2"
C4693912,"LEUKODYSTROPHY, HYPOMYELINATING, 17"
C4747954,COFFIN-SIRIS SYNDROME 7
C4747961,"CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 4"
C4747974,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD"
C4748003,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57"
C4748052,"CILIARY DYSKINESIA, PRIMARY, 38"
C4748058,"PONTOCEREBELLAR HYPOPLASIA, TYPE 1D"
C4748167,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 63"
C4748170,PREMATURE OVARIAN FAILURE 15
C2721586,Sudden arrhythmic death syndrome
C2931139,Nondystrophic myotonia
C4509816,Squamous non-small cell lung cancer
C4049259,Hormone refractory breast cancer
C3898877,hormone-resistant prostate cancer
C1710095,paranasal sinus and nasal cavity cancer
C0002735,Oppenheim's Disease
C4746970,"HEMOLYTIC ANEMIA, CONGENITAL, X-LINKED"
C4479278,AUTOINFLAMMATION WITH ARTHRITIS AND DYSKERATOSIS
C4479539,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC, WITH MYELIN DEFECT"
C4479552,"46,XX SEX REVERSAL 4"
C4479566,"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, HYPOTONIA, AND VARIABLE BRAIN ANOMALIES"
C4479569,NEURODEVELOPMENTAL DISORDER WITH INVOLUNTARY MOVEMENTS
C4479603,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEUROPATHY, AND DEAFNESS"
C4479631,"NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE MICROCEPHALY, SPASTICITY, AND BRAIN ANOMALIES"
C4479651,RETINAL DYSTROPHY WITH OR WITHOUT MACULAR STAPHYLOMA
C4479654,COHEN-GIBSON SYNDROME
C1291607,Deficiency of maleylacetoacetate isomerase
C4539857,CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
C4539873,"MICROCEPHALY, SHORT STATURE, AND LIMB ABNORMALITIES"
C4539968,"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY"
C4539976,"POLYDACTYLY, POSTAXIAL, TYPE A7"
C4539985,"CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES"
C4540020,"JOINT LAXITY, SHORT STATURE, AND MYOPIA"
C4540052,"ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES"
C4522164,HELIX SYNDROME
C4540188,"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ATAXIA, AND SEIZURES"
C4540192,"NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES"
C4521678,AUDITORY NEUROPATHY AND OPTIC ATROPHY
C4540232,PLATELET ABNORMALITIES WITH EOSINOPHILIA AND IMMUNE-MEDIATED INFLAMMATORY DISEASE
C4540277,"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION"
C4540293,"IMMUNODEFICIENCY, DEVELOPMENTAL DELAY, AND HYPOHOMOCYSTEINEMIA"
C3888203,SPRINTING PERFORMANCE
C3888204,ACTN3 DEFICIENCY
C4540327,NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES
C4540434,COMBINED IMMUNODEFICIENCY AND MEGALOBLASTIC ANEMIA WITH OR WITHOUT HYPERHOMOCYSTEINEMIA
C4540496,NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE
C4540498,"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER"
C4540520,GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 15
C4693347,ALKURAYA-KUCINSKAS SYNDROME
C4693390,"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, EPILEPSY, AND BRAIN ATROPHY"
C4693391,NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT SEIZURES AND GAIT ABNORMALITIES
C4693405,"NEURODEVELOPMENTAL DISORDER WITH MOVEMENT ABNORMALITIES, ABNORMAL GAIT, AND AUTISTIC FEATURES"
C4693481,"SHORT STATURE, FACIAL DYSMORPHISM, AND SKELETAL ANOMALIES WITH OR WITHOUT CARDIAC ANOMALIES"
C4693498,LEBER CONGENITAL AMAUROSIS WITH EARLY-ONSET DEAFNESS
C4693546,NEURODEVELOPMENTAL DISORDER WITH POOR LANGUAGE AND LOSS OF HAND SKILLS
C4693556,DIAMOND-BLACKFAN ANEMIA-LIKE
C4693563,"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 5"
C4693567,"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, CATARACTS, AND RENAL ABNORMALITIES"
C4693578,"HYPOTONIA, ATAXIA, DEVELOPMENTAL DELAY, AND TOOTH ENAMEL DEFECT SYNDROME"
C4693799,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, DI ROCCO TYPE"
C4693816,NEURODEVELOPMENTAL DISORDER WITH SPASTIC QUADRIPLEGIA AND BRAIN ABNORMALITIES WITH OR WITHOUT SEIZURES
C4693824,VERVERI-BRADY SYNDROME
C4693848,JABERI-ELAHI SYNDROME
C4693860,"DEVELOPMENTAL DELAY, INTELLECTUAL DISABILITY, OBESITY, AND DYSMORPHIC FEATURES"
C1866053,"Deafness, Congenital Heart Defects, and Posterior Embryotoxon"
C4693905,CONGENITAL DISORDER OF GLYCOSYLATION WITH DEFECTIVE FUCOSYLATION
C4747891,GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17
C4693947,"PROTOPORPHYRIA, ERYTHROPOIETIC, 2"
C4747923,TETRAAMELIA SYNDROME 2
C4747940,HUMEROFEMORAL HYPOPLASIA WITH RADIOTIBIAL RAY DEFICIENCY
C4748041,INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA
C4748081,NEURODEVELOPMENTAL DISORDER WITH SPASTICITY AND POOR GROWTH
C4748120,"SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS"
C4748127,"NEURODEVELOPMENTAL DISORDER WITH REGRESSION, ABNORMAL MOVEMENTS, LOSS OF SPEECH, AND SEIZURES"
C4748135,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES
C4748137,NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND HYPOPLASIA OF THE CORPUS CALLOSUM
C4748152,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES"
C4012268,"TETRAAMELIA SYNDROME, AUTOSOMAL RECESSIVE"
C0341702,Acquired Fanconi syndrome
C4329672,Classic Congenital Adrenal Hyperplasia
C1568363,Tendinosis
C3203657,Autoimmune retinopathy
C4518639,Epilepsy of infancy with migrating focal seizures
C4290000,acute flaccid myelitis
C2930793,Achondroplastic dwarfism
C4551993,"Amyotrophic Lateral Sclerosis, Familial"
C2930805,Sudden unexpected nocturnal death syndrome
C2930824,Autoimmune limbic encephalitis
C2930827,Chronic malaria
C2930826,Acute malaria
C2930844,Hypopituitarism and septooptic 'dysplasia'
C2930845,Stenotrophomonas maltophilia bacteremia
C2930861,"Premature ovarian failure, familial"
C2930863,Primary cortisol resistance
C0393818,Congenital hypomyelinating neuropathy
C1970386,"Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities"
C2930879,"Cerebellar degeneration, subacute"
C3710741,"Torticollis, familial"
C0342856,Coproporphyria
C4546640,Hypertrichosis cubiti short stature
C2930976,Acute myeloid leukemia FAB-M6
C2930975,Acute erythroleukemia - M6a subtype
C2930977,Acute erythroleukemia - M6b subtype
C1280768,Axenfeld syndrome
C2930987,Paranasal sinus teratocarcinosarcoma (type)
C0268451,Manz syndrome
C2930989,"Maple syrup urine disease, type 1A"
C2931015,Dandy Walker variant
C2931031,Pseudoangiomatous stromal hyperplasia
C2931037,"Pancreatic cancer, adult"
C2931039,Pancreatic islet cell tumors
C2931058,Marfan Syndrome type 2
C3489728,Familial intrahepatic cholestasis of pregnancy
C2931068,Desmoplastic cerebral astrocytoma of infancy
C2931082,Familial apoceruloplasmin deficiency
C0268357,"Osteogenesis imperfecta, type 1A"
C2931105,"Hypercalciuria, childhood idiopathic"
C2931107,"Myasthenic syndrome, congenital, postsynaptic slow-channel"
C2931111,"Myopia, susceptibility to"
C3501847,"Night blindness, congenital stationary, type 1"
C3711543,X-Linked Csnb
C2931118,Megalocytic interstitial nephritis
C0856901,Retinol Deficiency
C0271271,Xerotic keratitis
C2931133,Pediatric Crohn's disease
C3671688,Cyclic Hematopoesis
C2931135,Blepharophimosis syndrome type 1
C2931136,Blepharophimosis syndrome type 2
C2931173,Pediatric ulcerative colitis
C2931174,"Polycystic kidney disease, type 1"
C0277131,Angiostrongylus cantonensis infection
C2931185,Neonatal herpes
C2931206,"Usher syndrome, type 1B"
C2931207,"Usher syndrome, type 1C"
C2931208,"Usher syndrome, type 1D"
C2931210,"Usher syndrome, type 1F"
C2931223,6 alpha mercaptopurine sensitivity
C3495421,Chromosome 18q syndrome
C2931278,Phosphoenolpyruvate carboxykinase 2 deficiency
C2931297,Yusho Disease
C2931320,T cell immunodeficiency primary
C2931379,Neonatal Torulopsis glabrata Fungemia
C2931383,Chromosomal mosaicism due to mitotic instability
C2931387,"Leber congenital amaurosis, type 4"
C1334402,Lipomatous hemangiopericytoma
C1846386,"Focal Cortical Dysplasia of Taylor, Type IIa"
C2931428,"Hypodontia, X-linked"
C2931434,Paraquat lung
C0340493,Paroxysmal familial ventricular fibrillation
C3501249,"Nephrotic Syndrome, Congenital, With Ocular Abnormalities And Congenital Myasthenic Syndrome"
C0431415,Lumbosacral agenesis
C2931459,Lynch syndrome I (site-specific colonic cancer)
C4080064,Autosomal Dominant Hereditary Pancreatitis
C3489732,Familial mesangial sclerosis
C3711162,Metatropic Dysplasia Type 1
C0432360,Neurofibromatosis type 5
C2931500,Microphthalmia and mental deficiency
C2931517,Plasmacytoma anaplastic
C1291422,Deficiency of 3-oxoacid CoA-transferase
C2931536,Methylmalonyl-Coenzyme A mutase deficiency
C1849236,"Severe combined immunodeficiency, atypical"
C3711559,Juvenile Primary Osteoporosis
C3714240,Smad4-Related Juvenile Polyposis
C3714239,Bmpr1a-Related Juvenile Polyposis
C2931591,Juvenile systemic scleroderma
C1171363,Renoprival hypertension
C0795824,"Chromosome 8, monosomy 8p"
C1842137,Nonsyndromic sensorineural hearing loss
C1968699,"Hypothyroidism, Thyroidal, With Spiky Hair And Cleft Palate"
C2079540,"Charcot-Marie-Tooth disease, Type 2C"
C0432411,"Chromosome 9, trisomy"
C0795859,"Chromosome 15q, tetrasomy"
C3683846,Chromosome 17p Deletion Syndrome
C2931716,"Deafness, autosomal dominant nonsyndromic sensorineural 17"
C2931732,Familial Paget's disease of bone
C2931757,Acquired amegakaryocytic thrombocytopenia
C4721813,Adenylosuccinate lyase deficiency type 3
C4721811,Adenylosuccinate lyase deficiency type 1
C4721814,Adenylosuccinate lyase deficiency type 2
C4721812,Adenylosuccinate lyase deficiency type 4
C2609247,Adrenal incidentaloma
C2931784,Amyloid angiopathy
C2931786,"Amyotrophic lateral sclerosis, type 6"
C2749602,"AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I, WITH REVERSIBLE METAPHYSEAL DYSPLASIA"
C2931820,"Inclusion body myopathy, autosomal dominant"
C2750414,"CAP MYOPATHY, TPM3-RELATED (disorder)"
C2750413,"Cap Myopathy, Tpm2-Related"
C2931829,RDS - infants
C2931830,Restless legs syndrome 2
C2063389,Retroperitoneal liposarcoma
C1853256,Hyperostosis-hyperphosphatemia syndrome
C3711531,"Hdl Deficiency, Type 2"
C2931844,Spinal muscular atrophy 4
C2931852,Clear-cell metastatic renal cell carcinoma
C0549143,Pulmonary renal syndrome
C2931857,Double cortex
C4310512,Sporadic CJD
C2931862,Familial hyperchylomicronemia syndrome
C2931867,Dandy Walker cyst
C2931887,Familial progressive supranuclear palsy
C1855792,"ICHTHYOSIFORM ERYTHRODERMA, CONGENITAL, NONBULLOUS, 1"
C0812435,Chromosome 11p deletion syndrome
C2932677,Idiopathic Juxtafoveal Retinal Telangiectasia
C2932678,Inherited Peripheral Neuropathy
C3179539,Congenital Deficiency of Pulmonary Surfactant Protein B
C3714208,"Blepharophimosis, Ptosis, and Epicanthus Inversus Type II"
C3501912,Cerebrocostomandibular-Like Syndrome
C3714042,"46,XY Disorder of Sex Development Due To LH Defects"
C4547080,Unilateral lobar pulmonary agenesis
C1303010,"Mydriasis, Congenital"
C1832612,"Hypocalcemia, Autosomal Dominant, with Bartter Syndrome"
C1832733,"Rhabdomyolysis, Cerivastatin-Induced"
C3501899,"Epiphyseal Dysplasia, Multiple, with Myopathy"
C1834155,"HYPERTENSION, RESISTANT TO CONVENTIONAL THERAPY"
C1834751,"CORONARY ARTERY DISEASE, DEVELOPMENT OF, IN HIV"
C1834969,Metaphyseal Dysplasia with Maxillary Hypoplasia and Brachydactyly
C1835362,"Lp(A) Deficiency, Congenital"
C1836023,"Drug Metabolism, Poor, CYP2C19-Related"
C1836302,Carotid Intimal Medial Thickness 1
C1837092,"Myasthenic Syndrome, Congenital, with Facial Dysmorphism, associated with Acetylcholine Receptor Deficiency"
C1837154,"Drug Metabolism, Poor, CYP2D6-Related"
C1837739,"Hypertension, Diastolic, Resistance to"
C1839141,Thyroxine-Binding Globulin Deficiency
C1840423,HEREDITARY RENAL CANCER ASSOCIATED 1
C3501647,"Glutathione Peroxidase Deficiency, Hemolytic Anemia possibly due to"
C1841973,"Pseudohermaphroditism, Female, With Hypokalemia, Due To Glucocorticoid Resistance"
C1841982,"BODY COMPOSITION, BENEFICIAL"
C2675370,Capillary Malformation Without Arteriovenous Malformation
C1844831,Cleft Palate with Ankyloglossia
C1847849,"ICHTHYOSIS, LAMELLAR, 5"
C1848138,"X INACTIVATION, FAMILIAL SKEWED, 1 (disorder)"
C3502073,"Woolly Hair, Autosomal Recessive"
C3496549,Male Germ Cell Tumor
C1850993,"Foveal Hypoplasia, Isolated"
C1852429,"Cataract, Variable Zonular Pulverulent"
C1852449,"Cataract, Autosomal Dominant Nuclear"
C1852989,Vitreoretinopathy with Phalangeal Epiphyseal Dysplasia
C3501265,"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy"
C1853723,"MYOPATHY, DISTAL 2"
C3502107,Breastfeeding Jaundice
C3502110,"Homocystinuria, Pyridoxine-Responsive"
C3502495,Palmoplantar Hyperkeratosis with Squamous Cell Carcinoma of Skin and Sex Reversal
C1858804,"Cerebellar Ataxia, Deafness, and Narcolepsy"
C3502214,Microcephalic Osteodysplastic Primordial Dwarfism with Tooth Abnormalities
C1861106,"Thyrotropin-Releasing Hormone Resistance, Generalized"
C3501679,Bleeding Disorder due to Defective Thromboxane A2 Receptor
C1861235,Forebrain Defects
C1861284,Immunodeficiency due to Defect in CD3-Epsilon
C1861559,CHROMATE RESISTANCE (disorder)
C3502132,"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal"
C1861980,"PRENATAL CORTICAL HYPEROSTOSIS, LETHAL (disorder)"
C1862229,Adult i Blood Group Phenotype
C1970106,"Bpes, Type I, Autosomal Recessive"
C1862463,Aryl Hydrocarbon Hydroxylase Inducibility
C1862940,"Amyotrophic Lateral Sclerosis, Autosomal Recessive"
C1863119,Dysalbuminemic Hyperthyroxinemia
C1863769,"Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema"
C1863960,"Thyroid Adenoma, Hyperfunctioning"
C1863961,Thyroid Carcinoma With Thyrotoxicosis
C1864267,Endotoxin Hyporesponsiveness
C1866091,Left-Right Axis Malformations
C1867596,Hyperprothrombinemia
C1868476,Wegener-Like Granulomatosis
C3714237,"Trifunctional Protein Deficiency, Type 2"
C1970270,Choreoathetosis And Congenital Hypothyroidism
C2673200,"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 9 (disorder)"
C2673265,"Skin-Hair-Eye Pigmentation, Variation In, 8"
C2673584,"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 5 (disorder)"
C2673634,"Ectopia Lentis, Isolated, Autosomal Recessive"
C2673866,"SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 6 (disorder)"
C2674081,"Skin/Hair/Eye Pigmentation, Variation In, 7"
C2675518,Adiponectin Deficiency
C2675519,Hypoadiponectinemia
C3502052,"Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Dominant"
C3502051,"Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Recessive"
C2677086,"Skin-Hair-Eye Pigmentation, Variation In, 11"
C2677088,"Skin-Hair-Eye Pigmentation, Variation In, 10"
C2750247,"Polymicrogyria, Asymmetric"
C2751297,"Tooth Agenesis, Selective, 6"
C3489856,Cold Hypersensitivity
C3492932,"Lactic Acidosis, Congenital Infantile, Due To Lad Deficiency"
C3711391,6q24-Related Transient Neonatal Diabetes Mellitus
C3711388,African Hemochromatosis
C3711382,Familial Acute Myeloid Leukemia with Mutated Cebpa
C3711378,Inherited Thyroxine-Binding Globulin Deficiency
C3711850,Opticospinal Multiple Sclerosis
C3711560,Pdgfrb-Associated Chronic Eosinophilic Leukemia
C3711368,Surfactant Dysfunction
C0585539,X-Linked Infantile Nystagmus
C0000735,Abdominal Neoplasms
C3830362,Early Pregnancy Loss
C4552766,Miscarriage
C4042945,Severe Acute Malnutrition
C0750731,"Physical Appearance, Body"
C3203533,Psychological Trauma
C0221163,Motor Disorders
C4042834,Compassion Fatigue
C1096063,Drug Resistant Epilepsy
C4046049,Anti-PIT-1 Antibody Syndrome
C4046047,IgG4-Related Hypophysitis
C4042906,Mammary Analogue Secretory Carcinoma
C4042789,Right-Sided Breast Neoplasms
C4042788,Left-Sided Breast Neoplasms
C4018978,Unilateral Breast Neoplasms
C4082769,Chronic Traumatic Encephalopathy
C0332778,"Diastasis, Bone"
C0409860,Rotator cuff tear arthropathy
C0266215,Anorectal atresia
C0264515,"Pneumonia, Necrotizing"
C3266262,Multiple Chronic Conditions
C4277639,Acute Febrile Encephalopathy
C1096452,Neonatal Early-Onset Sepsis
C1096721,Neonatal Late-Onset Sepsis
C0920253,Emergence Delirium
C4255193,Bilateral Vestibulopathy
C4277512,Breast Cancer Lymphedema
C1536220,ST segment elevation myocardial infarction
C4255010,Non-ST Elevated Myocardial Infarction
C4277690,Ciliopathies
C0333324,Spontaneous Perforation
C1262313,Invasive Fungal Infections
C0391958,Familial Epilepsies
C4505072,Epileptic Syndromes
C4505163,Food Addiction
C2203937,Night Eating Syndrome
C0410000,Overlap syndrome
C4505226,Gender-Based Violence
C0338777,Opium Dependence
C4704679,Opium Use
C4316909,Marijuana Use
C2609176,Kounis Syndrome
C4318382,Cardiac Conduction Defects
C4505291,Xp21 Contiguous Gene Deletion Syndrome
C1842981,NEUROTICISM
C0680458,Recidivism
C4505353,Diverticular Bleeding
C4553088,Neurolymphomatosis
C4704723,Primary Neurolymphomatosis
C4704742,Craniofacial Fibrous Dysplasia
C4704753,"Urinary Bladder, Underactive"
C0403647,Hypotonic bladder disorder
C0949083,Hospital acquired pneumonia
C1443237,Healthcare associated pneumonia
C3890422,Post-Treatment Lyme Disease Syndrome
C2063079,chronic lyme disease
C4704767,Myelodysplastic Syndrome Acute Myeloid Leukemia
C4087124,Immunoglobulin G4-Related Disease
C2987188,Pancreatic Intraductal Neoplasms
C0001349,Acute-Phase Reaction
C0205641,"Adenocarcinoma, Basal Cell"
C0205642,"Adenocarcinoma, Oxyphilic"
C0016024,Fibroadenosis
C0001511,Tissue Adhesions
C0001576,Adnexal Diseases
C0001726,Affective Symptoms
C0013985,Emotional Disturbances
C0001811,Aging
C0001828,Agricultural Workers' Diseases
C0008301,Choking
C0001883,Airway Obstruction
C0001969,Alcoholic Intoxication
C0001956,Alcohol Use Disorder
C0263477,Female pattern alopecia (disorder)
C3887755,Mountain Sickness
C4045968,Altitude Hypoxia
C0546126,Acute Confusional Senile Dementia
C0750900,"Alzheimer's Disease, Focal Onset"
C0032796,Postpartum Amenorrhea
C0750905,"Amino Acid Metabolism, Inherited Disorders"
C0233750,Hysterical amnesia
C0233796,Temporary Amnesia
C0262497,Global Amnesia
C0750907,Amnestic State
C0750906,Tactile Amnesia
C0750908,Pre-Ictal Amnesia
C0750909,Retrograde Memory Loss
C0750910,Pre-Ictal Memory Loss
C0002690,Amputation Stumps
C0393554,Amyotrophic Lateral Sclerosis With Dementia
C0002793,Anaplasia
C4476477,Human Granulocytic Anaplasmosis
C0002889,"Anemia, Microangiopathic"
C0002883,"Anemia, Hemolytic, Idiopathic Acquired"
C0543663,Idiopathic Autoimmune Hemolytic Anemia
C0002938,Aneuploidy
C0333099,Fusiform Aneurysm
C4277533,"Dissection, Blood Vessel"
C0085808,"Aneurysm, Mycotic"
C0002957,Anger
C3888024,Cacosmia
C0003129,Anoxemia
C0013409,Dyssocial Behavior
C0424166,Social Anxiety
C0235013,Hypervigilance
C0376280,"Anxiety States, Neurotic"
C0234474,"Aphasia, Graphomotor"
C0234472,"Aphasia, Functional"
C0234469,"Aphasia, Global"
C0750918,"Aphasia, Commisural"
C0234482,"Aphasia, Semantic"
C0234476,"Aphasia, Intellectual"
C0338457,"Aphasia, Progressive"
C0750919,"Aphasia, Post-Ictal"
C0234484,"Aphasia, Syntactical"
C0750917,"Aphasia, Auditory Discriminatory"
C0750921,Dejerine-Lichtheim Phenomenon
C0454576,"Aphasia, Mixed"
C0003546,"Aphasia, Acquired"
C0234462,"Aphasia, Ageusic"
C0750920,"Aphasia, Post-Traumatic"
C0454578,Receptive aphasia (finding)
C0854119,Ruptured Appendicitis
C0003621,Appetite Disorders
C0854145,Feeding Disorders
C0454608,"Apraxia, Oral"
C0234526,Ideational Apraxia
C0750928,"Apraxia, Facial-Oral"
C0234529,Dressing Apraxia
C3495144,"Apraxia, Articulatory"
C0234527,"Apraxia, Motor"
C0422892,"Apraxia, Gestural"
C0205671,"Infections, Arenavirus"
C0750932,"Arnold-Chiari Malformation, Type IV"
C0750931,"Arnold-Chiari Malformation, Type III"
C0003865,"Arthritis, Adjuvant-Induced"
C0971858,"Arthritis, Collagen-Induced"
C0003875,"Arthritis, Viral"
C4552091,"Polyarthritis, Juvenile, Rheumatoid Factor Negative"
C4704862,"Polyarthritis, Juvenile, Rheumatoid Factor Positive"
C2930617,Pulmonary Fibrosis - from Asbestos Exposure
C0004048,Inspiration function
C0750936,Intracranial Astrocytoma
C1704230,Grade I Astrocytoma
C0278161,"Ataxia, Motor"
C3468561,familial atrial fibrillation
C0750942,Auditory Inattention
C0750945,"Nervous System Diseases, Parasympathetic"
C0393912,Segmental Autonomic Dysfunction
C0750944,Peripheral Autonomic Nervous System Diseases
C0750946,"Nervous System Diseases, Sympathetic"
C0086942,Rous Sarcoma
C2930674,Human Babesiosis
C0750949,Vertebrogenic Pain Syndrome
C0740363,Back Pain with Radiation
C0438921,Back Pain without Radiation
C1258085,Barrett Epithelium
C0750951,Lenticulostriate Disorders
C0376338,"Diagnosis, Psychiatric"
C4046029,"Mental Disorders, Severe"
C2350873,Beryllium Disease
C1321580,Trichobezoar disorder
C0282074,Biliary Sludge
C3489571,Familial Extrahepatic Biliary Atresia
C3489572,Idiopathic Extrahepatic Biliary Atresia
C0750955,"Neurogenic Urinary Bladder, Spastic"
C0392115,"Neurogenic Urinary Bladder, Uninhibited"
C0149622,"Neurogenic Urinary Bladder, Atonic"
C0750953,Urinary Bladder Neurogenesis
C0750958,"Blindness, Monocular"
C0339730,"Blindness, Acquired"
C0376288,Amaurosis
C0221473,"Blindness, Hysterical"
C0005758,Bulla
C1619634,erythrocyte sedimentation rate result
C0005911,Body Weight Changes
C0038529,Subchondral Cysts
C0005941,"Bone Diseases, Developmental"
C0005942,"Bone Diseases, Endocrine"
C1510428,Cerebral abscess
C0751743,"Metabolic Disorder, Central Nervous System, Acquired"
C1135773,"Acquired Metabolic Diseases, Nervous System"
C0751744,"Brain Diseases, Metabolic, Acquired"
C0750968,Central Nervous System Metabolic Disorders
C0750969,Vasogenic Brain Edema
C0750970,Cytotoxic Brain Edema
C0472387,Vasogenic Cerebral Edema
C0472388,Cytotoxic Cerebral Edema
C1527390,"Neoplasms, Intracranial"
C0750977,Recurrent Brain Neoplasm
C1449718,Endocrine Breast Diseases
C4704874,"Mammary Carcinoma, Human"
C1257931,"Mammary Neoplasms, Human"
C0006262,Bronchial Fistula
C2350876,"Bronchiolitis, Exudative"
C2350988,"Bronchiolitis, Proliferative"
C0006274,"Bronchiolitis, Viral"
C2231324,"Brucellosis, Pulmonary"
C0085933,"Infections, Bunyavirus"
C0343640,African Burkitt's lymphoma
C0158300,Adhesive Capsulitis
C0521174,Microcalcification
C0010046,Corn of toe
C0343863,Candida infection of genital region
C4704876,Genital Vulvovaginal Candidiasis
C0860029,Vaginal Yeast Infections
C0018614,Hashish Abuse
C0007020,Carbon Monoxide Poisoning
C0600176,Argentaffinoma
C0205696,Anaplastic carcinoma
